src,tgt
"Bắt đầu từ 14h chiều nay 7/1 ,  Bộ Y tế đã tổ chức họp báo khẩn về vụ thực phẩm chức năng Omega 3 ăn mòn xốp đang gây hoang mang dư luận .",从今天下午14:00开始，卫生部就欧米茄3功能性食品案举行了紧急新闻发布会，引起了公众混乱。
"Bí đao có tính giải nhiệt cao ,  giúp phái đẹp có được làn da mịn màng ,  tươi sáng .  Tuy nhiên ,  ăn nhiều bí đao cũng không tốt cho hệ thống tiêu hóa ,  mọi người nên chú ý cẩn thận khi ăn loại quả này .",南瓜具有高冷却特性，可帮助女性具有光滑，明亮的皮肤。但是，吃很多南瓜对消化系统不利，人们应该注意吃这种水果。
"Theo phản ánh từ phía doanh nghiệp ,  việc triển khai thủ tục hải quan đối với hàng hóa xuất nhập khẩu thông qua cơ chế một cửa quốc gia còn vướng mắc .",根据企业的说法，通过国家室室机制实施了进出口货物的海关程序。
"Ngay ngày giao dịch đầu tuần ,  thị trướng chứng khoán Việt chứng kiến phiên lao dốc của nhiều mã trong bối cảnh diễn biến dịch virus covid-19 lan rộng và có xu hướng bùng phát tại Hàn Quốc .",在一周的第一交易日，越南证券的地位见证了许多代码在开发Civi-200病毒传播的背景下，并倾向于在韩国爆炸。
Ông Obama không ngần ngại thừa nhận sai lầm của Mỹ trong cuộc chiến tranh tại Việt Nam và Iraq .,奥巴马先生毫不犹豫地承认我们在越南和伊拉克战争中的错误。
"Mỗi năm ,  khi mùa xuân đến ,  hàng ngàn khách du lịch Trung Quốc đổ xô đến hồ nhân tạo Tam Điệp đểtận mắt chứng kiến hòn đảo rùa ‘thoắt ẩn thoắt hiện ’  tại sông Muodaoxi ,  theo tin tức mới nhất từ Odditycentral  ,",每年，春天到来时，成千上万的中国游客涌向塔姆·迪普（Tam Diep）人造湖，亲眼目睹了穆多奥克斯河（Muodeoxi River）的“隐藏的“岛”隐藏”，根据OddityCentral的最新消息
Những cuộc chiến tranh tốn kém nhất lịch sử thế giới không chỉ gây thiệt hạinặng nề về mặt tài chính cho những nước tham chiến mà còn trở thành nỗi ám ảnh của hàng triệu người dân tại thời điểm đó .,世界历史上最昂贵的战争不仅给参与国家造成了严重的财务损失，而且还痴迷于当时的数百万人。
"Một con cá ngừ vây xanh đã được mua với giá 14 triệu Yên  ( khoảng 2 , 4 tỷ đồng )  trong phiên đấu giá đầu năm .",在年初的拍卖中，购买了1400万日元（约24亿）的绿鳍金枪鱼。
"Trong khu vực ASEAN ,  Việt Nam là quốc gia đứng thứ hai về tiêu thụ xe máy nhiều nhất ,  với hơn 1 , 7 triệu xe máy bán ra sau ba quý đầu năm 2021 .",在东盟地区，越南是摩托车消费的第二大国家，在2021年前三个季度之后售出了170万辆摩托车。
"Giá vàng hôm nay ngày 9/9 ở thị trường trong nước chốt phiên giao dịch cuối tuần giảm nhẹ .  Tuy nhiên ,  giá vàng trong nước vẫn ở mức cao . Sự kiện :",今天在国内市场的9/9金价结束了周末会议，以稍微降低。但是，国内黄金价格仍然很高。活动：
